Household.Num,Income,FamilySize,NumAdults,RandData,IncomeBin,FSBin,AdultBin
5728747,62500,4,4,1,50-75,4-5,3-4
5728848,87500,8,4,1,75-100,>=6,3-4
5730747,150000,6,4,1,>150,>=6,3-4
5730848,175000,4,4,1,>150,4-5,3-4
5731242,62500,2,2,1,50-75,2,2
5731343,112500,3,3,1,100-150,3,3-4
5731709,62500,3,3,0,50-75,3,3-4
5734444,35000,2,2,1,25-50,2,2
5734747,112500,4,3,1,100-150,4-5,3-4
5735646,87500,7,3,1,75-100,>=6,3-4
5736746,45000,9,6,0,25-50,>=6,5-6
5737242,87500,4,2,1,75-100,4-5,2
5737848,150000,5,5,1,>150,4-5,5-6
5738545,35000,2,2,1,25-50,2,2
5739848,87500,7,4,1,75-100,>=6,3-4
5740141,10000,5,4,1,<25,4-5,3-4
5741747,45000,4,4,1,25-50,4-5,3-4
5742242,35000,5,4,1,25-50,4-5,3-4
5742444,10000,1,1,1,<25,1,1
5743702,62500,6,4,0,50-75,>=6,3-4
5743848,87500,5,4,1,75-100,4-5,3-4
5744141,150000,4,4,1,>150,4-5,3-4
5744444,62500,3,3,1,50-75,3,3-4
5744549,62500,4,2,0,50-75,4-5,2
5744848,45000,5,5,1,25-50,4-5,5-6
5746848,45000,2,2,1,25-50,2,2
5747646,87500,2,2,1,75-100,2,2
5748747,87500,2,2,1,75-100,2,2
5750052,112500,2,2,0,100-150,2,2
5750141,62500,6,4,1,50-75,>=6,3-4
5751747,62500,2,2,1,50-75,2,2
5752545,87500,2,1,1,75-100,2,1
5752848,25000,2,2,1,25-50,2,2
5753242,62500,2,2,1,50-75,2,2
5753848,62500,6,6,1,50-75,>=6,5-6
5754646,45000,5,4,1,25-50,4-5,3-4
5757444,112500,2,2,1,100-150,2,2
5757646,62500,2,2,1,50-75,2,2
5758646,87500,6,5,1,75-100,>=6,5-6
5759271,25000,5,5,0,25-50,4-5,5-6
5760444,87500,4,2,1,75-100,4-5,2
5760545,150000,3,3,1,>150,3,3-4
5761646,45000,1,1,1,25-50,1,1
5762747,35000,1,1,1,25-50,1,1
5763242,87500,7,6,1,75-100,>=6,5-6
5763646,35000,4,4,1,25-50,4-5,3-4
5763848,25000,5,5,1,25-50,4-5,5-6
5765343,87500,3,2,1,75-100,3,2
5768242,87500,4,3,1,75-100,4-5,3-4
5769545,87500,4,4,1,75-100,4-5,3-4
5769646,62500,3,3,1,50-75,3,3-4
5771545,45000,1,1,1,25-50,1,1
5772242,62500,2,2,1,50-75,2,2
5772848,150000,4,4,1,>150,4-5,3-4
5773646,62500,1,1,1,50-75,1,1
5774242,87500,3,3,1,75-100,3,3-4
5774747,17500,1,1,1,<25,1,1
5775848,150000,1,1,1,>150,1,1
5776242,45000,2,2,1,25-50,2,2
5776343,150000,6,6,1,>150,>=6,5-6
5776545,112500,4,4,1,100-150,4-5,3-4
5777153,112500,4,4,0,100-150,4-5,3-4
5779444,112500,5,5,1,100-150,4-5,5-6
5779545,87500,5,4,1,75-100,4-5,3-4
5780646,62500,5,4,1,50-75,4-5,3-4
5781444,87500,3,2,1,75-100,3,2
5782545,62500,2,1,1,50-75,2,1
5783444,87500,2,2,1,75-100,2,2
5784128,87500,2,2,0,75-100,2,2
